GeoFips,GeoName,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4
0,United States,43971,44381,44191,45616,44353,44720,44910,45171,45909,46616,47215,47762,48274,48631,48895,49070,49198,49373,49734,50134,50794,51286,51773,52428,53022,53532,54122,54578
1000,Alabama,35571,35873,35507,36323,35900,36009,36176,35959,36269,36846,37312,37763,38200,38465,38729,38699,38849,38941,39004,39243,39823,40112,40305,40731,41148,41409,41675,42162
2000,Alaska *,53535,53819,53460,54042,52634,52545,53053,53253,54867,55703,56133,56658,57500,57657,57566,57444,56378,56160,56218,56553,56564,56869,57597,58164,58846,59239,60258,60717
4000,Arizona,36104,36470,36217,37364,36701,37090,37254,37427,38134,38522,38928,39396,39931,40287,40329,40721,40953,41355,41720,41857,42608,42966,43597,43955,44688,44994,45551,45890
5000,Arkansas,35988,36556,36187,37595,36500,36639,36803,36739,37782,38584,38972,39610,39444,39792,40191,40412,40542,40797,40915,41214,41757,41871,42027,42567,42986,43338,43849,44447
6000,California,47180,47675,47567,50008,47595,48314,48707,49335,49948,50807,51803,52465,53646,54402,54835,55307,55924,56209,56808,57297,57841,58456,59085,59890,60344,61195,61992,62543
8000,Colorado,44951,45360,45076,47067,46530,47185,47656,48191,49665,50524,51068,51790,52260,52472,52333,52320,51906,52048,52535,53113,54091,54807,55582,56626,57316,58040,58942,59646
9000,Connecticut,63486,64142,63383,65474,62284,62500,62717,63057,64101,65085,65997,66823,66673,67108,67439,68040,68582,68683,68668,68707,69150,69996,70372,71051,72123,72718,73919,73984
10000,Delaware,43558,44017,43685,44961,43934,44414,44454,44767,45293,45805,46264,46654,47368,48004,47868,48221,48040,48564,48948,49344,49926,50056,50809,51197,51995,52503,53223,53573
11000,District of Columbia,67945,68239,67301,69029,67577,67834,67687,68161,70375,71148,71935,72280,75047,75691,75888,75979,77551,78066,78252,78898,79152,79541,80316,80957,81470,82040,83224,83455
12000,Florida,41071,41304,41135,42596,40808,41006,41224,41517,42399,43236,43820,44479,45182,45584,45767,46010,45883,46179,46686,47083,48028,48807,49329,49943,50684,51074,51771,52245
13000,Georgia,37206,37338,37178,38279,37436,37761,37822,38090,39061,39712,40256,40777,41454,41822,42133,42300,42753,42773,43072,43542,44390,44731,45068,45777,46155,46569,47188,47343
15000,Hawaii *,43511,43875,43573,44273,43615,43773,44011,44397,45157,45848,46373,46736,47244,47645,47906,48311,48678,48968,49298,49671,50521,50892,51323,51437,51641,52071,52392,52646
16000,Idaho,34447,34840,34891,36185,35526,36095,36303,36391,36770,37509,37884,38519,39282,39229,39488,39387,39728,40033,40264,40290,40790,41445,41739,42271,42874,43136,43372,43955
17000,Illinois,45434,45905,45650,47096,46557,46997,47155,47496,48279,48962,49501,50202,50820,51279,51740,51926,51756,51850,51985,52531,52760,53354,53911,54550,55568,56284,56777,57398
18000,Indiana,38798,39326,39370,40178,39824,39785,39753,39703,40343,41037,41464,41910,42157,42605,42765,43084,43170,43489,43789,44117,44451,44912,45252,45785,46587,46864,47209,47733
19000,Iowa,42353,42966,42540,43551,43321,43491,43601,43324,43729,44753,44980,45332,45753,45881,46317,46449,46197,46140,46431,46372,47028,47196,47162,47765,48364,48841,49216,50376
20000,Kansas,45277,45297,44518,46111,45367,46279,46344,46684,46025,46831,47417,47732,47368,47389,47371,47230,46806,47186,47542,47780,48236,48498,48776,49454,49990,50546,51042,51659
21000,Kentucky,35602,35896,35688,36283,36018,36013,36092,36130,36904,37495,37838,38308,38736,39159,39362,39656,39333,39579,40005,40047,40416,40591,40840,41244,41450,41902,42099,42446
22000,Louisiana,40331,41037,40799,41819,41190,41366,41409,41534,42319,42974,43371,43635,43078,42996,43127,43257,42355,42566,42774,43281,43645,43800,44258,44574,45350,45938,46281,46642
23000,Maine,40135,40540,40202,40726,40071,40218,40339,40634,40876,41562,42019,42776,42846,43515,43896,44319,44334,44688,44753,45156,45804,46077,46665,47090,47683,48097,48471,48579
24000,Maryland,52639,52604,52561,53347,52185,52231,52151,52403,52751,53460,54046,54360,55345,55661,55970,56331,56939,57394,57797,58346,58439,58886,59334,60064,59972,60417,60952,61149
25000,Massachusetts,55866,56531,56149,58079,56149,56584,56730,57025,57597,58271,59358,60495,61442,62230,62553,63253,63355,63986,64838,64936,65576,66251,67068,67633,68709,69188,69882,70322
26000,Michigan,38793,39007,38994,40236,39202,39524,39684,39831,40318,41006,41486,42013,42790,43240,43609,43996,44176,44432,44566,44904,45285,45482,45664,46162,46873,47198,47503,47688
27000,Minnesota,46969,47529,47446,48898,47376,47679,48092,48180,48780,49684,50458,50938,51698,51773,52064,52331,52188,52240,52825,53091,53998,54104,54176,54982,55617,56328,56820,57521
28000,Mississippi,33443,33733,33449,33979,33963,34086,34684,34302,34465,34922,34980,35211,35196,35511,35685,35705,35898,35913,35990,36268,36677,36702,36994,37280,37430,37820,37993,38426
29000,Missouri,39757,40226,40013,41236,40380,40538,40622,40719,41076,41752,42285,42707,42921,43180,43489,43675,44128,44247,44446,44779,44925,45159,45431,45983,46367,47161,47392,47978
30000,Montana,40267,40485,40377,41572,40432,40678,40737,40855,41574,42422,42779,43151,43940,43982,44074,43706,43659,43729,44064,44745,45519,46120,46227,46591,47266,47629,47813,48489
31000,Nebraska,46383,46856,46029,47385,46836,46804,46695,46233,47824,49073,49081,49836,50304,50601,50822,50440,49569,49320,49252,49326,49369,49976,50273,51192,51254,51544,51932,53355
